0	1	date
-94.148036	36.334145	07/01/1962
-92.966037	36.203334	08/01/1964
-83.459929	34.24863	04/12/1988
-94.513179	36.181117	08/01/1965
-92.439708	35.110687	05/01/1972
-92.275897	34.790476	10/01/1967
-92.72818	35.131691	10/01/1967
-89.579482	36.86933	03/01/1968
-94.977187	35.890855	07/01/1968
-92.465717	36.452566	03/01/1968
-95.60734	36.32548	07/01/1968
-94.310477	37.141918	11/01/1968
-92.649472	37.658495	04/01/1969
-91.860475	36.727714	05/01/1969
-94.356251	35.469947	04/01/1969
-94.394421	36.841485	05/01/1969
-91.21215	35.71028	11/01/1969
-90.408144	36.755411	04/03/1990
-93.749461	38.366172	10/01/1970
-92.146829	37.82642	03/01/1970
-95.319049	36.3062	10/01/1970
-92.0807	32.516689	11/01/1970
-92.11035	34.883828	04/01/1971
-91.884766	39.170871	02/01/1971
-94.914155	39.319931	11/01/1970
-91.546032	37.636087	02/01/1971
-94.85117	36.976639	05/01/1971
-92.185145	38.564489	08/01/1971
-89.953355	36.79946	11/01/1971
-94.632948	35.045605	06/01/1971
-93.259842	36.640851	06/01/1971
-93.788686	34.045389	06/01/1971
-94.099869	37.391323	11/01/1971
-96.558692	39.186668	10/01/1971
-90.524918	36.059925	11/01/1971
-90.435012	37.787944	09/01/1971
-94.800283	33.89552	12/09/1971
-94.705373	37.810235	03/01/1972
-92.454	39.43233	11/01/1971
-95.932435	36.739207	05/01/1972
-95.643001	37.033267	02/01/1973
-96.825073	39.021883	05/01/1972
-92.565568	38.333763	02/01/1972
-90.685164	35.821221	08/01/1972
-93.396757	37.594649	08/01/1972
-94.812222	35.44892	07/01/1972
-93.947829	36.915901	11/01/1972
-95.510044	34.010795	10/01/1972
-95.143509	36.63598	09/01/1973
-91.943907	38.86403	05/01/1973
-93.089517	34.493086	07/01/1972
-94.143611	36.167274	06/01/1972
-93.902379	35.141897	10/01/1972
-92.676769	36.962221	08/01/1973
-90.971722	36.07489	10/01/1972
-93.106773	35.278174	05/01/1973
-94.477694	37.07405	05/01/1972
-90.980646	38.97841	03/01/1975
-93.737229	38.779135	11/01/1972
-89.856079	35.928492	11/01/1972
-95.395139	35.957489	09/01/1973
-89.240636	35.592466	02/01/1973
-91.15795	38.221185	07/03/1973
-93.456641	35.44847	08/01/1973
-94.225727	34.58631	07/01/1973
-90.751552	35.244479	08/01/1973
-90.391083	38.212753	12/01/1973
-90.148524	35.154948	07/01/1974
-90.95828	36.248073	11/01/1973
-94.704909	37.433371	01/01/1974
-96.160018	35.98849	10/01/1974
-89.984357	35.697714	11/01/1973
-92.410009	31.366854	11/13/1984
-93.585117	36.377735	11/01/1973
